personID,name,dOB,pOB,height,weight,handedness,pid
23,Johnny Oduya,1981-10-01,"Stockholm, Sweden",183,86,L,o/oduyajo01
24,Brandon Pirri,1991-04-10,"Toronto, Ontario",183,84,L,p/pirribr01
25,Michal Rozsival,1978-09-03,"Vlasim, Czechoslovakia",185,95,R,r/rozsimi01
26,Brandon Saad,1992-10-27,"Pittsburgh, Pennsylvania",185,93,L,s/saadbr01
27,Brent Seabrook,1985-04-20,"Richmond, British Columbia",190,99,R,s/seabrbr01
28,Patrick Sharp,1981-12-27,"Winnipeg, Manitoba",185,90,R,s/sharppa01
29,Andrew Shaw,1991-07-20,"Belleville, Ontario",180,82,R,s/shawan01
30,Ben Smith,1988-07-11,"Winston-Salem, North Carolina",180,92,R,s/smithbe01
31,Viktor Stalberg,1986-01-17,"Gothenburg, Sweden",190,94,L,s/stalbvi01
32,Ryan Stanton,1989-07-20,"St. Albert, Alberta",188,92,L,s/stantry01
33,Jonathan Toews,1988-04-29,"Winnipeg, Manitoba",188,91,L,t/toewsjo01
34,Dan Bylsma,1970-09-19,"Grand Haven, United States",188,96,L,/coaches/bylsmda01c.html
35,Craig Adams,1977-04-26,"Seria, Brunei Darussalam",183,89,R,a/adamscr01
36,Beau Bennett,1991-11-27,"Gardena, California",188,88,R,b/bennebe01
37,Robert Bortuzzo,1989-03-18,"Thunder Bay, Ontario",193,97,R,b/borturo01
38,Zach Boychuk,1989-10-04,"Airdrie, Alberta",178,83,L,b/boychza01
39,Matt Cooke,1978-09-07,"Belleville, Ontario",180,92,L,c/cookema01
40,Sidney Crosby,1987-08-07,"Cole Harbour, Nova Scotia",180,90,L,c/crosbsi01
41,Simon Despres,1991-07-27,"Laval, Quebec",193,98,L,d/desprsi01
42,Pascal Dupuis,1979-04-07,"Laval, Quebec",185,92,L,d/dupuipa01
43,Mark Eaton,1977-05-06,"Wilmington, Delaware",185,97,L,e/eatonma01
44,Deryk Engelland,1982-04-03,"Edmonton, Alberta",188,96,R,e/engelde01
45,Marc-Andre Fleury,1984-11-28,"Sorel, Quebec",188,83,L,f/fleurma01
46,Tanner Glass,1983-11-29,"Regina, Saskatchewan",185,96,L,g/glassta01
47,Jarome Iginla,1977-07-01,"Edmonton, Alberta",185,95,R,i/iginlja01
48,Dustin Jeffrey,1988-02-27,"Sarnia, Ontario",185,92,L,j/jeffrdu01
49,Jussi Jokinen,1983-04-01,"Kalajoki, Finland",183,86,L,j/jokinju01
50,Tyler Kennedy,1986-07-15,"Sault Ste. Marie, Ontario",180,83,R,k/kennety01
51,Chris Kunitz,1979-09-26,"Regina, Saskatchewan",183,85,L,k/kunitch01
52,Kris Letang,1987-04-24,"Montreal, Quebec",183,91,R,l/letankr01
53,Ben Lovejoy,1984-02-20,"Concord, New Hampshire",185,92,R,l/lovejbe01
54,Steve MacIntyre,1980-08-08,"Brock, Saskatchewan",196,113,None,m/macinst01
55,Evgeni Malkin,1986-07-31,"Magnitogorsk, USSR",190,88,L,m/malkiev01
56,Paul Martin,1981-03-05,"Minneapolis, Minnesota",185,90,L,m/martipa01
57,Brenden Morrow,1979-01-16,"Carlyle, Saskatchewan",183,92,L,m/morrobr01
58,Douglas Murray,1980-03-12,"Bromma, Sweden",190,108,L,m/murrado01
59,James Neal,1987-09-03,"Whitby, Ontario",190,96,L,n/nealja01
60,Matt Niskanen,1986-12-06,"Virginia, Minnesota",185,92,R,n/niskama01
61,Brooks Orpik,1980-09-26,"San Francisco, California",190,98,L,o/orpikbr01
62,Dylan Reese,1984-08-29,"Pittsburgh, Pennsylvania",185,91,R,r/reesedy01
63,Trevor Smith,1985-02-08,"Ottawa, Ontario",185,88,L,s/smithtr01
64,Brandon Sutter,1989-02-14,"Huntington, New York",190,86,R,s/suttebr03
65,Eric Tangradi,1989-02-10,"Philadelphia, Pennsylvania",193,102,L,t/tangrer01
66,Joe Vitale,1985-08-20,"St. Louis, Missouri",180,92,R,v/vitaljo01
67,Tomas Vokoun,1976-07-02,"Karlovy Vary, Czechoslovakia",185,95,R,v/vokouto01
68,Bruce Boudreau,1955-01-09,"Toronto, Ontario",175,77,L,/coaches/boudrbr01c.html
69,Bryan Allen,1980-08-21,"Kingston, Ontario",196,101,L,a/allenbr01
70,Francois Beauchemin,1980-06-04,"Sorel, Quebec",180,94,L,b/beaucfr01
71,Matt Beleskey,1988-06-07,"Windsor, Ontario",183,93,L,b/belesma01
72,Nick Bonino,1988-04-20,"Hartford, Connecticut",185,88,L,b/boninni01
73,Andrew Cogliano,1987-06-14,"Toronto, Ontario",178,79,L,c/coglian01
74,Radek Dvorak,1977-03-09,"Tabor, Czechoslovakia",188,88,R,d/dvorara01
75,Emerson Etem,1992-06-16,"Long Beach, California",185,96,L,e/etemem01
76,Viktor Fasth,1982-08-08,"Kalix, Sweden",183,82,L,f/fasthvi01
77,Cam Fowler,1991-12-05,"Windsor, Ontario",188,97,L,f/fowleca01
78,Ryan Getzlaf,1985-05-10,"Regina, Saskatchewan",193,99,R,g/getzlry01
79,Jordan Hendry,1984-02-23,"Nokomis, Saskatchewan",183,89,L,h/hendrjo02
80,Jonas Hiller,1982-02-12,"Felben Wellhausen, Switzerland",188,86,R,h/hillejo01
81,Peter Holland,1991-01-14,"Toronto, Ontario",188,87,L,h/hollape01
82,Saku Koivu,1974-11-23,"Turku, Finland",178,82,L,k/koivusa01
83,Matthew Lombardi,1982-03-18,"Montreal, Quebec",180,88,L,l/lombama01
84,Toni Lydman,1977-09-25,"Lahti, Finland",185,94,L,l/lydmato01
85,Pat Maroon,1988-04-23,"St. Louis, Missouri",190,107,L,m/maroopa01
86,Brandon McMillan,1990-03-22,"Richmond, British Columbia",180,86,L,m/mcmilbr01
87,Kyle Palmieri,1991-02-01,"Smithtown, New York",183,86,R,p/palmiky01
88,Corey Perry,1985-05-16,"Peterborough, Ontario",190,93,R,p/perryco01
89,Rickard Rakell,1993-05-05,"Sundbyberg, Sweden",185,88,R,r/rakelri01
90,Bobby Ryan,1987-03-17,"Cherry Hill, New Jersey",188,94,R,r/ryanbo01
91,Luca Sbisa,1990-01-30,"Ozieri, Italy",190,92,L,s/sbisalu01
92,Teemu Selanne,1970-07-03,"Helsinki, Finland",183,90,R,s/selante01
93,Devante Smith-Pelly,1992-06-14,"Scarborough, Ontario",183,101,R,s/smithde06
94,Sheldon Souray,1976-07-13,"Elk Point, Alberta",193,104,L,s/sourash01
95,Brad Staubitz,1984-07-28,"Bright's Grove, Ontario",185,97,R,s/staubbr01
96,David Steckel,1982-03-15,"Milwaukee, Wisconsin",198,97,L,s/steckda01
97,Sami Vatanen,1991-06-03,"Jyvaskyla, Finland",178,83,R,v/vatansa01
98,Daniel Winnik,1985-03-06,"Toronto, Ontario",188,95,L,w/winnida01
99,Michel Therrien,1963-11-04,"Montreal, Quebec",None,None,None,/coaches/therrmi99c.html
100,Colby Armstrong,1982-11-23,"Lloydminster, Saskatchewan",188,88,R,a/armstco01
101,Nathan Beaulieu,1992-12-05,"Strathroy, Ontario",188,91,L,b/beaulna01
102,Mike Blunden,1986-12-15,"Toronto, Ontario",193,98,R,b/blundmi01
103,Francis Bouillon,1975-10-17,"New York, New York",173,87,L,b/bouilfr01
104,Rene Bourque,1981-12-10,"Lac La Biche, Alberta",188,98,L,b/bourqre01
105,Peter Budaj,1982-09-18,"Banska Bystrica, Czechoslovakia",185,88,L,b/budajpe01
106,Erik Cole,1978-11-06,"Oswego, New York",188,95,L,c/coleer01
107,David Desharnais,1986-09-14,"Laurier-Station, Quebec",170,81,L,d/deshada01
108,Raphael Diaz,1986-01-09,"Baar, Switzerland",180,89,R,d/diazra01
109,Davis Drewiske,1984-11-22,"Hudson, Wisconsin",188,100,L,d/drewida01
110,Gabriel Dumont,1990-10-06,"Ville Degelis, Quebec",178,81,R,d/dumonga01
111,Lars Eller,1989-05-08,"Rodovre, Denmark",188,94,L,e/ellerla01
112,Alexei Emelin,1986-04-25,"Togliatti, USSR",188,98,L,e/emelial01
113,Alex Galchenyuk,1994-02-12,"Milwaukee, Wisconsin",185,87,L,g/galchal01
114,Brendan Gallagher,1992-05-06,"Edmonton, Alberta",175,83,R,g/gallabr01
115,Brian Gionta,1979-01-18,"Rochester, New York",170,80,R,g/giontbr01
116,Josh Gorges,1984-08-14,"Kelowna, British Columbia",185,92,L,g/gorgejo01
117,Jeff Halpern,1976-05-03,"Washington, District of Columbia",183,90,R,h/halpeje01
118,Tomas Kaberle,1978-03-02,"Rakovnik, Czechoslovakia",185,96,L,k/kaberto01
119,Andrei Markov,1978-12-20,"Voskresensk, USSR",183,90,L,m/markoan01
120,Travis Moen,1982-04-06,"Stewart Valley, Saskatchewan",188,97,L,m/moentr01
121,Max Pacioretty,1988-11-20,"New Canaan, Connecticut",188,93,L,p/pacioma01
122,Greg Pateryn,1990-06-20,"Sterling Heights, Michigan",188,100,R,p/patergr01
123,Tomas Plekanec,1982-10-31,"Kladno, Czechoslovakia",180,86,L,p/plekato01
124,Carey Price,1987-08-16,"Anahim Lake, British Columbia",190,98,L,p/priceca01
125,Brandon Prust,1984-03-16,"London, Ontario",183,88,L,p/prustbr01
126,Michael Ryder,1980-03-31,"Bonavista, Newfoundland and Labrador",185,90,R,r/rydermi01
127,P.K. Subban,1989-05-13,"Toronto, Ontario",183,95,R,s/subbapk01
128,Jarred Tinordi,1992-02-20,"Burnsville, Minnesota",198,92,L,t/tinorja01
129,Yannick Weber,1988-09-23,"Morges, Switzerland",180,90,R,w/weberya01
130,Ryan White,1988-03-17,"Brandon, Manitoba",183,90,R,w/whitery01
131,Claude Julien,1960-04-23,"Blind River, Ontario",183,89,R,/coaches/juliecl01c.html
132,Matt Bartkowski,1988-06-04,"Pittsburgh, Pennsylvania",185,92,L,b/bartkma01
133,Patrice Bergeron,1985-07-24,"Ancienne-Lorette, Quebec",185,88,R,b/bergepa01
134,Chris Bourque,1986-01-29,"Boston, Massachusetts",173,78,L,b/bourqch01
135,Johnny Boychuk,1984-01-19,"Edmonton, Alberta",188,102,R,b/boychjo01
136,Gregory Campbell,1983-12-17,"London, Ontario",183,85,L,c/campbgr01
137,Jordan Caron,1990-11-02,"Sayabec, Quebec",190,92,L,c/caronjo01
138,Zdeno Chara,1977-03-18,"Trencin, Czechoslovakia",206,113,L,c/charazd01
139,Kaspars Daugavins,1988-05-18,"Riga, USSR",185,92,L,d/daugaka01
140,Andrew Ference,1979-03-17,"Edmonton, Alberta",180,82,L,f/ferenan01
141,Dougie Hamilton,1993-06-17,"Toronto, Ontario",198,104,R,h/hamildo01
142,Nathan Horton,1985-05-29,"Welland, Ontario",188,103,R,h/hortona01
143,Jaromir Jagr,1972-02-15,"Kladno, Czechoslovakia",190,104,L,j/jagrja01
144,Aaron Johnson,1983-04-30,"Port Hawkesbury, Nova Scotia",185,92,L,j/johnsaa01
145,Chris Kelly,1980-11-11,"Toronto, Ontario",183,86,L,k/kellych01
146,Anton Khudobin,1986-05-07,"Ust-Kamenogorsk, USSR",180,88,L,k/khudoan01
147,David Krejci,1986-04-28,"Sternberk, Czechoslovakia",183,85,R,k/krejcda01
148,Torey Krug,1991-04-12,"Livonia, Michigan",175,84,L,k/krugto01
149,Milan Lucic,1988-06-07,"Vancouver, British Columbia",190,104,L,l/lucicmi01
150,Lane MacDermid,1989-08-25,"Hartford, Connecticut",190,92,L,m/macdela01
151,Brad Marchand,1988-05-11,"Halifax, Nova Scotia",175,82,L,m/marchbr03
152,Adam McQuaid,1986-10-12,"Charlottetown, Prince Edward Island",193,95,R,m/mcquaad01
153,Daniel Paille,1984-04-15,"Welland, Ontario",185,90,L,p/paillda01
154,Jay Pandolfo,1974-12-27,"Winchester, Massachusetts",185,86,L,p/pandoja01
155,Rich Peverley,1982-07-08,"Kingston, Ontario",180,88,R,p/peverri01
156,Tuukka Rask,1987-03-10,"Savonlinna, Finland",190,79,L,r/rasktu01
157,Wade Redden,1977-06-12,"Lloydminster, Saskatchewan",188,92,L,r/reddewa01
158,Tyler Seguin,1992-01-31,"Brampton, Ontario",185,90,R,s/seguity01
159,Dennis Seidenberg,1981-07-18,"Schwenningen, Germany",183,90,L,s/seidede01
160,Carl Soderberg,1985-10-12,"Malmo, Sweden",190,95,L,s/soderca01
161,Ryan Spooner,1992-01-30,"Ottawa, Ontario",180,86,L,s/spoonry01
162,Jamie Tardif,1985-01-23,"Welland, Ontario",183,92,R,t/tardija01
163,Shawn Thornton,1977-07-23,"Oshawa, Ontario",188,98,R,t/thornsh01
164,Ken Hitchcock,1951-12-17,"Edmonton, Alberta",None,None,None,/coaches/hitchke99c.html
165,Jake Allen,1990-08-07,"Fredericton, New Brunswick",188,86,L,a/allenja01
166,David Backes,1984-05-01,"Minneapolis, Minnesota",190,97,R,b/backeda01
167,Patrik Berglund,1988-06-02,"Vasteras, Sweden",193,97,L,b/berglpa01
168,Jay Bouwmeester,1983-09-27,"Edmonton, Alberta",193,93,L,b/bouwmja01
169,Ian Cole,1989-02-21,"Ann Arbor, Michigan",185,102,L,c/coleia01
170,Adam Cracknell,1985-07-15,"Prince Albert, Saskatchewan",190,94,R,c/crackad01
171,Matt D'Agostini,1986-10-23,"Sault Ste. Marie, Ontario",183,89,R,d/dagosma01
172,Brian Elliott,1985-04-09,"Newmarket, Ontario",188,94,L,e/elliobr01
173,Jaroslav Halak,1985-05-13,"Bratislava, Czechoslovakia",180,83,L,h/halakja01
174,Barret Jackman,1981-03-05,"Trail, British Columbia",183,92,L,j/jackmba01
175,Dmitrij Jaskin,1993-03-23,"Omsk, Russian Federation",185,88,L,j/jaskidm01
176,Jamie Langenbrunner,1975-07-24,"Cloquet, Minnesota",185,92,R,l/langeja01
177,Jordan Leopold,1980-08-03,"Golden Valley, Minnesota",185,93,L,l/leopojo01
178,Andy McDonald,1977-08-25,"Strathroy, Ontario",178,79,L,m/mcdonan01
179,Andrew Murray,1981-11-06,"Selkirk, Manitoba",188,95,L,m/murraan01
180,Scott Nichol,1974-12-31,"Edmonton, Alberta",173,81,R,n/nichosc01
181,T.J. Oshie,1986-12-23,"Everett, Washington",180,88,R,o/oshietj01
182,David Perron,1988-05-28,"Sherbrooke, Quebec",183,90,R,p/perroda01
183,Alex Pietrangelo,1990-01-18,"King City, Ontario",190,95,R,p/pietral01
184,Roman Polak,1986-04-28,"Ostrava, Czechoslovakia",188,108,R,p/polakro01
185,Chris Porter,1984-05-29,"Toronto, Ontario",185,93,L,p/portech01
186,Ryan Reaves,1987-01-20,"Winnipeg, Manitoba",188,102,R,r/reavery01
187,Kris Russell,1987-05-02,"Caroline, Alberta",178,77,L,r/russekr01
188,Jaden Schwartz,1992-06-25,"Wilcox, Saskatchewan",178,86,L,s/schwaja01
189,Kevin Shattenkirk,1989-01-29,"New Rochelle, New York",183,96,R,s/shattke01
190,Vladimir Sobotka,1987-07-02,"Trebic, Czechoslovakia",178,83,L,s/sobotvl01
191,Alex Steen,1984-03-01,"Winnipeg, Manitoba",183,95,L,s/steenal01
192,Chris Stewart,1987-10-30,"Toronto, Ontario",188,109,R,s/stewach02
193,Vladimir Tarasenko,1991-12-13,"Yaroslavl, Russian Federation",183,102,L,t/tarasvl01
194,Alain Vigneault,1961-05-14,"Quebec City, Quebec",180,88,R,/coaches/vigneal01c.html
195,Andrew Alberts,1981-06-30,"Minneapolis, Minnesota",196,93,L,a/alberan01
196,Keith Ballard,1982-11-26,"Baudette, Minnesota",180,94,L,b/ballake01
197,Cam Barker,1986-04-04,"Winnipeg, Manitoba",190,101,L,b/barkeca01
198,Kevin Bieksa,1981-06-16,"Grimsby, Ontario",185,89,R,b/biekske01
199,David Booth,1984-11-24,"Detroit, Michigan",183,96,L,b/boothda01
200,Alexandre Burrows,1981-04-11,"Pincourt, Quebec",185,89,L,b/burroal01
201,Frank Corrado,1993-03-26,"Toronto, Ontario",183,92,R,c/corrafr01
202,Andrew Ebbett,1983-01-02,"Vernon, British Columbia",175,78,L,e/ebbetan01
203,Alexander Edler,1986-04-21,"Ostersund, Sweden",190,97,L,e/edleral01
204,Jason Garrison,1984-11-13,"White Rock, British Columbia",185,98,L,g/garrija01
205,Andrew Gordon,1985-12-13,"Halifax, Nova Scotia",183,87,None,g/gordoan01
206,Dan Hamhuis,1982-12-13,"Smithers, British Columbia",185,92,L,h/hamhuda01
207,Jannik Hansen,1986-03-15,"Rodovre, Denmark",185,89,R,h/hanseja01
208,Chris Higgins,1983-06-02,"Smithtown, New York",183,92,L,h/higgich01
209,Nicklas Jensen,1993-03-06,"Herning, Denmark",190,97,L,j/jenseni01
210,Derek Joslin,1987-03-17,"Richmond Hill, Ontario",185,95,L,j/joslide01
211,Zack Kassian,1991-01-24,"Windsor, Ontario",190,95,R,k/kassiza01
212,Ryan Kesler,1984-08-31,"Livonia, Michigan",188,93,R,k/keslery01
213,Maxim Lapierre,1985-03-29,"Saint-Leonard, Quebec",188,97,R,l/lapiema01
214,Roberto Luongo,1979-04-04,"Montreal, Quebec",190,97,L,l/luongro01
215,Manny Malhotra,1980-05-18,"Mississauga, Ontario",188,99,L,m/malhoma01
216,Steve Pinizzotto,1984-04-26,"Mississauga, Ontario",185,90,R,p/pinizst01
217,Mason Raymond,1985-09-17,"Cochrane, Alberta",185,81,L,r/raymoma01
218,Derek Roy,1983-05-04,"Ottawa, Ontario",175,83,L,r/royde01
219,Cory Schneider,1986-03-18,"Marblehead, Massachusetts",188,95,L,s/schneco01
220,Jordan Schroeder,1990-09-29,"Lakeville, Minnesota",175,77,R,s/schrojo01
221,Daniel Sedin,1980-09-26,"Ornskoldsvik, Sweden",185,86,L,s/sedinda01
222,Henrik Sedin,1980-09-26,"Ornskoldsvik, Sweden",188,83,L,s/sedinhe01
223,Tom Sestito,1987-09-28,"Rome, New York",196,103,L,s/sestito01
224,Bill Sweatt,1988-09-21,"Elburn, Illinois",183,86,L,s/sweatbi01
225,Chris Tanev,1989-12-20,"Toronto, Ontario",188,89,R,t/tanevch01
226,Aaron Volpatti,1985-05-30,"Revelstoke, British Columbia",183,97,L,v/volpaaa01
227,Dale Weise,1988-08-05,"Winnipeg, Manitoba",188,93,R,w/weiseda01
228,Darryl Sutter,1958-08-19,"Viking, Alberta",180,79,L,/coaches/sutteda01c.html
229,Jonathan Bernier,1988-08-07,"Laval, Quebec",183,83,L,b/bernijo01
230,Dustin Brown,1984-11-04,"Ithaca, New York",183,95,R,b/browndu01
231,Jeff Carter,1985-01-01,"London, Ontario",190,99,R,c/carteje01
232,Kyle Clifford,1991-01-13,"Ayr, Ontario",188,95,L,c/cliffky01
233,Drew Doughty,1989-12-08,"London, Ontario",185,92,R,d/doughdr01
234,Keaton Ellerby,1988-11-05,"Strathmore, Alberta",196,100,None,e/ellerke01
235,Colin Fraser,1985-01-28,"Sicamous, British Columbia",185,86,L,f/fraseco01
236,Simon Gagne,1980-02-29,"Ste. Foy, Quebec",185,88,L,g/gagnesi01
237,Matt Greene,1983-05-13,"Grand Ledge, Michigan",190,107,R,g/greenma01
238,Dwight King,1989-07-05,"Meadow Lake, Saskatchewan",193,103,L,k/kingdw01
239,Anze Kopitar,1987-08-24,"Jesenice, Slovenia",190,102,L,k/kopitan01
240,Trevor Lewis,1987-01-08,"Salt Lake City, Utah",185,91,R,l/lewistr01
241,Alec Martinez,1987-07-26,"Rochester Hills, Michigan",185,94,L,m/martial01
242,Jake Muzzin,1989-02-21,"Woodstock, Ontario",190,98,L,m/muzzija01
243,Jordan Nolan,1989-06-23,"Garden River, First Nations, Ontario",190,99,L,n/nolanjo01
244,Dustin Penner,1982-09-28,"Winkler, Manitoba",193,111,L,p/pennedu01
245,Jonathan Quick,1986-01-21,"Milford, Connecticut",185,97,L,q/quickjo01
246,Robyn Regehr,1980-04-19,"Recife, Brazil",190,100,L,r/regehro01
247,Mike Richards,1985-02-11,"Kenora, Ontario",180,88,L,r/richami02
248,Brad Richardson,1985-02-04,"Belleville, Ontario",183,86,L,r/richabr02
249,Rob Scuderi,1978-12-30,"Syosset, New York",185,96,L,s/scudero01
250,Jarret Stoll,1982-06-24,"Melville, Saskatchewan",185,97,R,s/stollja01
251,Tyler Toffoli,1992-04-24,"Scarborough, Ontario",183,89,R,t/toffoty01
252,Slava Voynov,1990-01-15,"Chelyabinsk, Russian Federation",183,87,R,v/voynovi01
253,Justin Williams,1981-10-04,"Cobourg, Ontario",185,83,R,w/williju01
254,Todd McLellan,1967-10-03,"Melville, Saskatchewan",180,83,L,/coaches/mclelto01c.html
255,Dan Boyle,1976-07-12,"Ottawa, Ontario",180,87,R,b/boyleda01
256,Justin Braun,1987-02-10,"Minneapolis, Minnesota",188,92,R,b/braunju01
257,Adam Burish,1983-01-06,"Madison, Wisconsin",185,88,R,b/burisad01
258,Brent Burns,1985-03-09,"Barrie, Ontario",196,104,R,b/burnsbr01
259,Ryane Clowe,1982-09-30,"St. John's, Newfoundland and Labrador",190,102,L,c/clowery01
260,Logan Couture,1989-03-28,"Guelph, Ontario",185,90,L,c/coutulo01
261,Jason Demers,1988-06-09,"Dorval, Quebec",185,88,R,d/demerja01
262,Andrew Desjardins,1986-07-27,"Lively, Ontario",185,88,R,d/desjaan01
263,T.J. Galiardi,1988-04-22,"Calgary, Alberta",188,88,L,g/galiatj01
264,Scott Gomez,1979-12-23,"Anchorage, Alaska",180,90,L,g/gomezsc01
265,Thomas Greiss,1986-01-29,"Fussen, Germany",188,105,L,g/greisth01
266,Scott Hannan,1979-01-23,"Richmond, British Columbia",185,97,L,h/hannasc01
267,Martin Havlat,1981-04-19,"Mlada Boleslav, Czechoslovakia",188,95,L,h/havlama01
268,Matt Irwin,1987-11-29,"Victoria, British Columbia",188,85,L,i/irwinma01
269,Bracken Kearns,1981-05-12,"North Vancouver, British Columbia",183,90,L,k/kearnbr01
270,Tim Kennedy,1986-04-30,"Buffalo, New York",178,79,L,k/kenneti01
271,Patrick Marleau,1979-09-15,"Aneroid, Saskatchewan",188,98,L,m/marlepa01
272,Frazer McLaren,1987-10-29,"Winnipeg, Manitoba",196,104,L,m/mclarfr01
273,Antti Niemi,1983-08-29,"Vantaa, Finland",188,94,L,n/niemian02
274,Joe Pavelski,1984-07-11,"Plover, Wisconsin",180,88,R,p/paveljo01
275,Matt Pelech,1987-09-04,"Toronto, Ontario",193,104,R,p/pelecma01
276,Nicholas Petrecki,1989-07-11,None,190,102,None,p/petreni01
277,James Sheppard,1988-04-25,"Halifax, Nova Scotia",185,97,L,s/sheppja01
278,Alex Stalock,1987-07-28,"St. Paul, Minnesota",180,77,L,s/staloal01
279,Brad Stuart,1979-11-06,"Rocky Mountain House, Alberta",188,97,L,s/stuarbr02
280,Matt Tennyson,1990-04-23,"Minneapolis, Minnesota",188,92,R,t/tennyma01
281,Joe Thornton,1979-07-02,"London, Ontario",193,99,L,t/thornjo01
282,Raffi Torres,1981-10-08,"Toronto, Ontario",183,95,L,t/torrera01
283,Marc-Edouard Vlasic,1987-03-30,"Montreal, Quebec",185,92,L,v/vlasima01
284,Tommy Wingels,1988-04-12,"Evanston, Illinois",183,90,R,w/wingeto01
285,Randy Carlyle,1956-04-19,"Sudbury, Ontario",178,90,L,/coaches/carlyra01c.html
286,Tyler Bozak,1986-03-19,"Regina, Saskatchewan",185,90,R,b/bozakty01
287,Mike Brown,1985-06-24,"Chicago, Illinois",180,92,R,b/brownmi02
288,Joe Colborne,1990-01-30,"Calgary, Alberta",196,100,L,c/colbojo01
289,Cody Franson,1987-08-08,"Sicamous, British Columbia",196,102,R,f/fransco01
290,Mark Fraser,1986-09-29,"Ottawa, Ontario",193,99,L,f/frasema01
291,Matt Frattin,1988-01-03,"Edmonton, Alberta",183,92,R,f/frattma01
292,Jake Gardiner,1990-07-04,"Minnetonka, Minnesota",188,88,L,g/gardija01
293,Mikhail Grabovski,1984-01-31,"Potsdam, Germany",180,84,L,g/grabomi01
294,Carl Gunnarsson,1986-11-09,"Orebro, Sweden",188,89,L,g/gunnaca01
295,Ryan Hamilton,1985-04-15,"Oshawa, Ontario",188,104,L,h/hamilry01
296,Korbinian Holzer,1988-02-16,"Munich, Germany",190,93,R,h/holzeko01
297,Nazem Kadri,1990-10-06,"London, Ontario",183,87,L,k/kadrina01
298,Phil Kessel,1987-10-02,"Madison, Wisconsin",183,91,R,k/kesseph01
299,Leo Komarov,1987-01-23,"Narva, USSR",180,92,L,k/komarle01
300,Mike Komisarek,1982-01-19,"West Islip, New York",193,106,R,k/komismi01
301,Mike Kostka,1985-11-28,"Etobicoke, Ontario",185,95,R,k/kostkmi01
302,Nikolai Kulemin,1986-07-14,"Magnitogorsk, USSR",185,103,L,k/kulemni01
303,John-Michael Liles,1980-11-25,"Indianapolis, Indiana",178,83,L,l/lilesjo01
304,Joffrey Lupul,1983-09-23,"Ft. Saskatchewan, Alberta",185,93,R,l/lupuljo01
305,Clarke MacArthur,1985-04-06,"Lloydminster, Alberta",183,87,L,m/macarcl01
306,Jay McClement,1983-03-02,"Kingston, Ontario",185,92,L,m/mccleja01
307,Ryan O'Byrne,1984-07-19,"Victoria, British Columbia",196,106,R,o/obyrnry01
308,Colton Orr,1982-03-03,"Winnipeg, Manitoba",190,100,R,o/orrco01
309,Dion Phaneuf,1985-04-10,"Edmonton, Alberta",193,100,L,p/phanedi01
310,James Reimer,1988-03-15,"Morweena, Manitoba",188,99,L,r/reimeja01
311,Jussi Rynnas,1987-05-22,"Pori, Finland",196,92,L,r/rynnaju01
312,Ben Scrivens,1986-09-11,"Spruce Grove, Alberta",188,82,L,s/scrivbe01
313,James van Riemsdyk,1989-05-04,"Middletown, New Jersey",190,96,L,v/vanrija01
314,Adam Oates,1962-08-27,"Weston, Ontario",180,86,R,/coaches/oatesad01c.html
315,Karl Alzner,1988-09-24,"Burnaby, British Columbia",190,96,L,a/alzneka01
